"name","Population","Parent","Count","ParentCount","Percent_Parent"
"00_SEB.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD4-CD8-","/Scatter/Singlets/Live/Tcells",299,9790,0.03
"00_SEB.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa+IFNg+","/Scatter/Singlets/Live/Tcells/CD4-CD8-",0,299,0
"00_SEB.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa+IFNg-","/Scatter/Singlets/Live/Tcells/CD4-CD8-",1,299,0
"00_SEB.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa-IFNg+","/Scatter/Singlets/Live/Tcells/CD4-CD8-",0,299,0
"00_SEB.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa-IFNg-","/Scatter/Singlets/Live/Tcells/CD4-CD8-",298,299,1
"00_SEB.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD8+","/Scatter/Singlets/Live/Tcells",3398,9790,0.35
"00_SEB.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD8+/TNFa+IFNg+","/Scatter/Singlets/Live/Tcells/CD8+",6,3398,0
"00_SEB.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD8+/TNFa+IFNg-","/Scatter/Singlets/Live/Tcells/CD8+",17,3398,0.01
"00_SEB.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD8+/TNFa-IFNg+","/Scatter/Singlets/Live/Tcells/CD8+",57,3398,0.02
"00_SEB.fcs_INF100","/Scatter/Singlets/Live/Tcells/CD8+/TNFa-IFNg-","/Scatter/Singlets/Live/Tcells/CD8+",3318,3398,0.98
"00_SEB.fcs_INF179","/Scatter","root",10000,10000,1
"00_SEB.fcs_INF179","/Scatter/Singlets","/Scatter",9999,10000,1
"00_SEB.fcs_INF179","/Scatter/Singlets/Live","/Scatter/Singlets",9887,9999,0.99
"00_SEB.fcs_INF179","/Scatter/Singlets/Live/Tcells","/Scatter/Singlets/Live",9402,9887,0.95
"00_SEB.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD4+","/Scatter/Singlets/Live/Tcells",6916,9402,0.74
"00_SEB.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD4+/TNFa+IFNg+","/Scatter/Singlets/Live/Tcells/CD4+",13,6916,0
"00_SEB.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD4+/TNFa+IFNg-","/Scatter/Singlets/Live/Tcells/CD4+",593,6916,0.09
"00_SEB.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD4+/TNFa-IFNg+","/Scatter/Singlets/Live/Tcells/CD4+",23,6916,0
"00_SEB.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD4+/TNFa-IFNg-","/Scatter/Singlets/Live/Tcells/CD4+",6287,6916,0.91
"00_SEB.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD4-CD8-","/Scatter/Singlets/Live/Tcells",431,9402,0.05
"00_SEB.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa+IFNg+","/Scatter/Singlets/Live/Tcells/CD4-CD8-",0,431,0
"00_SEB.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa+IFNg-","/Scatter/Singlets/Live/Tcells/CD4-CD8-",11,431,0.03
"00_SEB.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa-IFNg+","/Scatter/Singlets/Live/Tcells/CD4-CD8-",1,431,0
"00_SEB.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa-IFNg-","/Scatter/Singlets/Live/Tcells/CD4-CD8-",419,431,0.97
"00_SEB.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD8+","/Scatter/Singlets/Live/Tcells",1871,9402,0.2
"00_SEB.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD8+/TNFa+IFNg+","/Scatter/Singlets/Live/Tcells/CD8+",0,1871,0
"00_SEB.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD8+/TNFa+IFNg-","/Scatter/Singlets/Live/Tcells/CD8+",7,1871,0
"00_SEB.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD8+/TNFa-IFNg+","/Scatter/Singlets/Live/Tcells/CD8+",20,1871,0.01
"00_SEB.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD8+/TNFa-IFNg-","/Scatter/Singlets/Live/Tcells/CD8+",1844,1871,0.99
